"","DISDEC","ED400","AREA400","MEASH400","SHDI400","FIRE400","MEAD400","HEAT400","YPIN400","MPIN400","DECI400"
"116",722.4,196.3724,1.8531,1.7732,1.5004,1.5115,0,10.798,8.2759,71.1463,0
"118",436.97,242.9921,1.3898,2.0217,1.8923,2.8169,0,4.6969,16.9989,50.2361,1.6477
"119",553.36,208.7643,2.0847,1.9376,1.5875,0,0,3.0443,41.0471,44.5685,3.0655
"120",472.61,199.8701,2.0847,1.9322,1.6429,0,0,7.3215,26.5915,59.4751,0
"123",90.08,316.3943,0.8626,2.0101,2.081,0.8519,8.0998,6.0273,1.3129,19.9171,31.6169
"126",122.66,271.5735,1.2508,2.0366,2.0712,3.093,2.3347,0.8694,0.9581,48.3548,19.6685
"132",463.79,214.1608,1.7869,2.0436,1.4604,0,0,35.1709,2.2223,48.6059,0.5621
"134",193.64,224.2043,1.7253,1.8377,1.8214,2.9031,0,8.2584,16.1507,59.525,2.9393
"136",98.79,196.8221,1.7869,1.8095,1.7902,0,0,6.8243,31.0699,45.4879,8.136
"137",553.36,185.5794,2.0013,1.8538,1.5201,0,0,7.0941,43.6553,41.844,3.2541
"138",672.34,213.1115,1.7869,1.7941,1.8014,0,0,11.3876,35.4607,38.3026,0
"139",442.23,177.7345,2.0013,1.7552,2.0182,0,4.7232,7.8624,24.8551,27.9118,9.7187
"140",219.42,217.5204,1.7133,1.9523,2.1977,0.5334,4.7298,5.1927,26.8592,22.5458,7.9048
"141",122.2,317.0939,0.7581,1.9676,2.1514,0.3985,9.5851,4.6782,1.3079,21.4973,23.7233
"143",275.32,207.1653,1.4715,1.9794,1.4993,1.0768,0.4584,0,3.3054,66.8778,12.0122
"144",182.83,265.2776,1.0645,1.987,1.8808,3.6389,1.6364,5.7975,0.7957,56.7506,8.913
"156",623.31,205.2666,1.9243,1.8958,1.893,0,0,13.9472,39.6192,23.9832,0
"159",275.32,263.4288,1.2508,2.0823,1.7172,1.5353,0.2124,1.1767,2.8119,67.0426,7.2215
"160",85.97,312.5968,1.0877,2.0442,2.1926,1.6976,12.6955,6.1935,3.4615,17.9396,17.4761
"162",196.58,339.5293,0.981,2.1688,2.3292,2.0861,2.9605,3.519,2.9106,21.982,44.7772
"163",127.09,334.5825,0.9097,2.1069,2.3336,2.4784,0,3.0268,7.8749,23.6409,42.3274
"164",127.09,261.7798,1.1913,2.1997,2.1103,2.3235,0,0,7.1278,26.7189,43.1058
"166",226.57,409.9835,0.8626,2.7012,2.4296,5.0242,0,5.0904,9.3726,28.3916,25.261
"170",276.55,262.7292,1.5635,2.1225,2.0136,0,0,9.9423,17.7397,50.4697,6.8942
"173",195.58,291.3606,0.8202,2.0125,1.9726,0,20.7953,2,0,2.682,40.1564
"175",136.53,306.8505,0.8339,2.2887,1.9154,0.817,2.9056,2.8094,1.9175,41.0821,34.3315
"182",64.64,344.2263,1.0877,2.2882,2.3743,2.4609,0,10.3695,22.9338,28.5664,16.3619
"183",279.01,293.859,1.1371,2.3013,1.7618,2.3472,0,10.4045,0,49.0606,9.3252
"184",426.59,234.2477,1.8531,1.9589,1.7825,5.0442,0,12.9903,7.9124,55.013,0.6083
"191",388.22,275.6208,1.1118,2.0462,2.112,3.7738,0,18.5942,22.3705,22.0282,3.8425
"195",323.58,271.7733,1.3898,2.0447,2.0824,0,0,14.4031,17.7922,32.1916,6.8106
"197",360.74,250.2373,1.614,2.0338,2.0509,5.2828,0,12.8079,2.226,45.2006,4.116
"200",41.77,271.8733,1.1635,2.0195,2.0678,0,0.3673,2.4234,25.7545,12.4131,9.3114
"201",180.22,242.5092,1.8181,2.2121,2.0383,0,0.4015,4.6216,19.7875,2.9592,10.7146
