locality;site;Riqueza_obs;Riqueza_HB;Bsc;Dne;Dnm;Dnn;Dns;Hal;Hra;Lfu;Lla;Lpo;Eun;Pce;Pcu;Pfa1;Ppa;Sfm;Sfv;Ebi;Esp;hydrop;hydrop2;vegcov;nveg;fish;area;area2;depth;forcov;forcov2;forcov10;dfrag;dfrag2;dwater;dwater2;X;Y
TUR;TurBr1;4;7;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;-2.553590;-2.235730;1.698908;0.745394;-1.508310;0.496119;0.425921;-1.306019;1.669861;1.875871;16.698610;-1.242271;-1.059858;0.788589;0.637701;-50.428300;-20.009600
TUR;TurRe1;10;13;1;0;1;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0.573255;0.606300;0.118528;1.648902;0.646419;0.006167;-0.134901;-0.352453;-2.250555;-1.639095;-22.505553;1.660627;2.168429;-1.355308;-1.045428;-50.448000;-20.023100
UNI;UniAc1;7;9;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0.573255;0.606300;-1.145775;-1.061622;0.646419;0.157921;0.031355;1.554680;-0.100616;-0.229455;-1.006161;0.891510;0.827888;-0.114370;-0.293382;-49.931000;-20.911800
UNI;UniAc2;13;15;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0.573255;0.606300;0.434604;-0.158114;0.646419;-0.477148;-0.619851;0.087655;-0.409403;-0.509277;-4.094035;0.891510;0.827888;-0.410780;-0.528531;-49.931000;-20.911100
UNI;UniAc3;19;20;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;-0.469027;-0.719981;0.118528;-1.061622;-1.508310;0.802544;0.812089;0.527762;-0.724466;-0.768040;-7.244662;0.935725;0.895477;0.460009;0.261463;-49.916500;-20.924000
UNI;UniAc4;16;18;0;1;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;0;-0.469027;-0.719981;0.750680;-1.061622;0.646419;0.303015;0.196565;-0.059048;-1.134521;-1.064361;-11.345207;0.537230;0.328063;1.637451;1.807873;-49.945400;-20.932200
UNI;UniAc5;13;15;0;1;1;1;0;0;1;1;0;1;0;1;1;1;1;0;1;1;0;-0.469027;-0.719981;-0.197547;-1.061622;-1.508310;-0.412566;-0.558975;-0.499155;-0.153582;-0.279296;-1.535817;0.037058;-0.251232;1.693425;1.895078;-49.943700;-20.930700
UNI;UniRe1;13;15;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;0;0.573255;0.606300;-0.829699;-0.158114;0.646419;0.324241;0.221246;1.554680;-0.631691;-0.694650;-6.316912;0.906502;0.850676;-0.410780;-0.528531;-49.931000;-20.910400
UNI;UniRe2;14;16;0;0;1;1;1;1;1;1;0;1;0;0;1;0;1;1;1;1;1;0.573255;0.606300;0.118528;0.745394;0.646419;0.942831;0.997980;0.087655;-0.653911;-0.712440;-6.539108;0.426820;0.187465;-0.024385;-0.215101;-49.946800;-20.928900
VIC;VicAc1;11;13;1;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;0;0;0.573255;0.606300;-0.829699;-1.061622;0.646419;-0.258727;-0.409089;0.527762;0.960665;0.930130;9.606654;-1.242271;-1.059858;-0.501012;-0.593197;-50.354500;-20.929700
VIC;VicBr1;8;11;0;0;0;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0.573255;0.606300;0.118528;0.745394;0.646419;-1.711116;-1.550421;-1.232668;0.846173;0.790282;8.461731;0.116442;-0.169167;-1.355308;-1.045428;-50.357000;-20.925400
VIC;VicBr2;6;9;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0.573255;0.606300;0.118528;-0.158114;0.646419;-1.711116;-1.550421;-1.232668;1.293779;1.357303;12.937790;-1.242271;-1.059858;-1.355308;-1.045428;-50.355400;-20.926600
VOT;VotAc1;14;16;0;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;0;0;-1.511308;-1.667324;0.434604;-0.158114;-1.508310;-0.595098;-0.727906;-1.232668;0.597776;0.499141;5.977761;0.199565;-0.079241;2.339312;2.991220;-50.093600;-20.509500
VOT;VotBr1;16;18;0;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;0.573255;0.606300;1.698908;0.745394;-1.508310;-0.324051;-0.473573;-1.306019;-1.407710;-1.236380;-14.077103;0.789831;0.676845;1.987717;2.374006;-50.095800;-20.501700
VOT;VotRe1;10;13;0;0;0;1;0;1;1;1;0;1;0;0;1;1;0;1;0;0;1;0.573255;0.606300;0.118528;1.648902;0.646419;0.778937;0.781370;1.554680;-0.655937;-0.714056;-6.559372;0.272887;0.003473;0.493021;0.297328;-50.094600;-20.505000
